iPhone,Year,Indian_Launch_price INR
iPhone 5,2012,45500
iPhone 5s,2013,53500
iPhone 6,2014,53500
iPhone 6s,2015,62000
iPhone 7,2016,60000
iPhone 8,2017,64000
iPhone X,2017,89000
iPhone XR,2018,76900
iPhone 11,2019,64900
iPhone 12,2020,79900
iPhone 13,2021,79900
iPhone 14,2022,79900
iPhone 15,2023,79900
iPhone 16,2024,79900
iPhone 17,2025,82900
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"79,900",,
iPhone 13,,
2021,,
"79,900",,
iPhone 14,,
2022,,
"79,900",,
iPhone 15,,
2023,,
"79,900",,
iPhone 16,,
2024,,
"79,900",,
iPhone 17,,
2025,,
"82,900",,
