YEAR,NATIONAL INCOME,TOP 10%SHARE,BOTTOM 50%SHARE,TOP 10% AVERAGE INCOME,BOTTOM 50% AVERAGE INCOME,OVERALL AVERAGE INCOME
2011,"₹100,364.00",0.5517,0.1373,"₹553,708.19","₹27,559.95","₹100,364.00"
2012,"₹111,231.00",0.5603,0.1346,"₹623,227.29","₹29,943.39","₹111,231.00"
2013,"₹122,120.00",0.5627,0.1339,"₹687,169.24","₹32,703.74","₹122,120.00"
2014,"₹131,973.00",0.5713,0.1313,"₹753,961.75","₹34,656.11","₹131,973.00"
2015,"₹143,851.00",0.5777,0.1297,"₹831,027.23","₹37,314.95","₹143,851.00"
2016,"₹157,480.00",0.5923,0.1256,"₹932,754.04","₹39,558.98","₹157,480.00"
2017,"₹171,151.00",0.5987,0.1239,"₹1,024,681.04","₹42,411.22","₹171,151.00"
2018,"₹186,928.00",0.5893,0.1281,"₹1,101,566.70","₹47,890.95","₹186,928.00"
2019,"₹195,705.00",0.587,0.1307,"₹1,148,788.35","₹51,157.29","₹195,705.00"
2020,"₹190,352.00",0.5802,0.1372,"₹1,104,422.30","₹52,232.59","₹190,352.00"
2021,"₹213,940.00",0.5819,0.1364,"₹1,244,916.86","₹58,362.83","₹213,940.00"
2022,"₹241,549.00",0.5889,0.1325,"₹1,422,482.06","₹64,010.49","₹241,549.00"
2023,"₹267,654.00",0.5889,0.1325,"₹1,576,214.41","₹70,928.31","₹267,654.00"
2024,"₹290,285.00",0.5889,0.1325,"₹1,709,488.37","₹76,925.53","₹290,285.00"
